id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1
cat-0,1.1709902,2.9206114,2.6276422,3.1887548,1.2583504,3.332625,2.8404446,3.0398684,3.5547235,6.3012037,2.5398524,5.560389,3.3660111,5.356991,2.5107503,5.355476,3.2998734,5.0965843,4.5174823,5.099459,4.577447,5.3908043,4.163079,4.9361863,4.9731584,4.1136837,4.048014,5.3269978,5.467234,4.849106,4.9147353,5.7249966,4.5224705,4.4118457,3.8246422,5.0078816,4.6255183,5.5852747,4.2033696,5.379084,5.3889003,6.69645,4.9773316,6.1742635,5.2815723,6.375269,5.942712,6.0014186,6.4125004,5.9554634,6.9115486,6.241989,6.730917,6.564262,5.3441863,6.8211746,5.9481363,6.00531,6.5797076,4.7032204
ship-1,-5.8501806,-0.18476294,-5.2680645,0.591512,-5.6487126,0.74391186,-5.6626916,-1.0451046,-5.862969,-1.6153545,-6.887819,0.24389891,-5.889326,0.19674759,-6.618125,1.1187413,-5.2889547,2.5186732,-5.8938656,1.8877103,-8.830254,3.2796407,-9.568598,2.642384,-9.311557,2.0722163,-8.2326355,3.0281475,-6.885405,0.6084731,-7.356024,2.6285098,-7.517744,4.106874,-7.155217,4.4808083,-4.8644347,2.284149,-7.0191226,3.8029761,-8.352387,3.6747475,-7.1472797,4.1190786,-7.5932336,3.9306438,-7.2317376,5.0844326,-7.434597,2.9588497,-7.820528,4.639265,-7.36017,5.031421,-6.5648227,7.809897,-7.432551,8.350489,-7.4403024,6.2940097
ship-2,-5.513773,1.3205153,-5.2159805,1.2411906,-6.002641,1.0903704,-5.765819,-0.8784833,-6.081769,-1.368544,-6.6807337,-0.022891043,-5.663482,-0.10573718,-6.6857944,1.0653157,-5.2612834,2.4602377,-5.972786,1.8028413,-8.57796,2.6886072,-9.92675,2.4476519,-9.4761715,1.9395382,-8.469777,2.860662,-7.262469,2.3443973,-7.500189,3.0373523,-7.954299,4.605859,-7.5781417,4.533645,-4.824279,2.423548,-7.2673917,4.0061193,-8.328311,3.8827355,-7.1879535,4.193764,-6.6449857,6.709503,-7.2144938,5.9036875,-7.3852777,3.200542,-7.3697214,8.703253,-6.07092,7.6138644,-6.5018177,7.9965405,-7.574948,8.794452,-7.6155195,6.354537
airplane-3,-5.8819985,1.637547,-6.6461225,1.7900382,-7.4137545,2.2025552,-7.3795457,1.0482705,-7.650847,-0.090741746,-7.474816,0.38871965,-7.4329,1.422543,-9.087678,2.5130126,-6.906156,2.9250824,-7.308978,2.952609,-8.33954,3.9926138,-8.531422,3.082481,-8.634796,2.8435373,-6.4104066,3.256981,-5.336124,5.0968866,-6.1020117,3.4222994,-5.8344083,3.7143142,-5.690676,6.231341,-4.454871,6.2631693,-4.0390267,6.495198,-4.427509,8.041604,-2.2815418,6.248921,-3.754267,6.916823,-4.3610253,8.228756,-3.3593383,10.05494,-4.155331,9.778714,-2.787891,7.6381845,-3.1101618,8.767654,-3.316835,9.297859,-4.0357165,9.394597
frog-4,6.2830405,2.9766767,5.986227,3.7404618,5.240285,2.8942854,4.55125,3.632458,4.876237,2.8187969,3.5911126,2.2605424,5.708353,4.013145,5.045217,2.925185,6.001149,2.7101543,4.2845516,2.010185,6.865256,2.8802629,6.872784,2.346078,7.089908,2.2264147,6.004261,1.8240138,7.660106,3.059666,7.370871,1.9136138,8.160954,5.0081015,7.2218337,4.4926357,8.52207,5.001143,8.060781,5.7920294,7.537863,4.638425,8.4731045,5.640635,7.600958,4.2262654,9.711412,4.272427,10.625689,4.961436,11.1245775,3.9071064,9.719465,4.9913106,11.435449,2.3968987,11.0254965,3.0759747,12.734319,2.911844
frog-5,7.669397,0.7633466,6.17128,1.3604445,-1.9499915,-0.89281905,7.186695,2.0567772,9.185577,4.392623,5.9965367,4.237523,7.3064513,4.8013883,7.530082,5.3958354,7.9398804,4.317766,8.625769,4.673662,9.220009,4.6685486,9.538832,4.6373672,8.849687,2.908184,9.749739,5.0886993,10.583537,4.7428565,9.298796,6.1416135,9.605338,7.0404477,10.686332,7.446023,11.080512,6.7983856,9.107473,6.8780446,9.660105,4.494564,10.887233,5.8030005,13.265742,4.0317445,9.685067,4.440969,11.074752,4.793247,12.487625,3.9673204,13.171893,4.6707964,11.457118,2.5165505,11.660976,3.0170918,12.796178,2.717519
automobile-6,-3.122859,-4.127976,-1.851238,-4.4620695,-3.2995553,-5.150531,-3.4907,-3.2805052,-4.874527,-4.182835,-2.1696317,-0.67027056,-3.8359962,-4.2053585,-3.4613357,-3.3799381,-2.9957685,-3.7453027,-3.9940941,-2.976061,-5.3321476,-1.368203,-6.0524306,-0.80922425,-6.512757,-1.4741323,-7.0783486,-2.1139367,-6.403098,-2.1063757,-6.2456994,-1.4311069,-7.92733,-0.91520417,-7.746722,1.9032321,-5.9031982,-0.11857158,-8.504472,0.4895209,-8.53631,3.2334368,-7.440609,2.8560133,-7.970336,2.526249,-7.7209496,3.5057733,-8.042063,1.0036119,-7.952651,3.5691676,-8.127677,3.5771563,-6.6460605,5.39109,-8.665886,4.008705,-7.2780466,5.642943
frog-7,6.773303,3.014534,7.2771244,3.7475784,6.3220606,2.327746,6.073069,3.2399838,6.7544775,4.002101,5.4107404,2.8992445,5.7580276,3.8622108,4.775471,2.613966,5.418919,2.0498633,4.6600585,0.83036923,6.5918155,1.2052248,6.8746815,1.5255258,6.6207767,0.3597946,5.7120366,1.4278556,7.226721,2.353689,7.3422623,1.603018,7.018238,2.4649823,6.9705935,1.7047641,6.6771536,3.953853,6.117348,3.071794,5.795923,1.9844432,4.8606195,2.4601126,5.4094954,2.6187449,7.6833425,0.035818305,7.160139,2.2053802,7.857553,2.138694,5.8651843,1.8403796,6.4630055,2.6951323,6.107112,2.4145684,6.84207,1.9457538
cat-8,2.3311093,2.9779484,2.74748,3.9502406,1.8439034,4.2576766,0.24654482,4.1747675,2.8959606,4.9939475,2.1525261,5.595617,2.7602913,5.8182683,2.3966255,5.5801196,2.7597287,5.519915,4.3582025,5.0807276,4.40211,5.3273087,4.347315,4.7803655,5.513954,4.115112,3.879564,4.588974,5.479334,4.8184524,5.4029613,4.642216,4.8348904,4.0394993,4.1032844,4.9767966,4.840869,5.8977265,4.594151,5.331432,6.039128,6.586238,4.77653,5.385832,5.851974,6.2510843,6.0447083,5.7948585,6.1780934,5.4289284,6.961511,6.2546415,6.33777,5.737615,5.989421,7.0275674,5.94258,5.6368475,6.639278,4.797169
automobile-9,-5.2869086,-0.65405345,-2.481643,-1.4458622,-3.2496178,-3.2585256,-4.0931,-4.582841,-4.3353467,-5.052543,-3.0726874,-4.561879,-4.3564186,-5.4431996,-3.0419188,-4.8273864,-3.1460152,-4.782766,-4.1329207,-3.2942948,-5.2615476,-1.8734725,-5.716205,-1.3629532,-6.5260844,-2.4144304,-6.725951,-2.8033051,-6.3428564,-2.4707763,-6.153076,-1.725178,-8.136203,-0.89435244,-6.6120315,-0.050774977,-6.2715225,0.7141142,-8.624253,-0.21887435,-8.752039,1.8454783,-7.804679,2.782275,-7.8053927,1.061955,-7.9370737,1.0586014,-8.097707,1.085383,-7.7473073,0.7259183,-8.328204,3.763961,-6.7000265,5.200576,-8.327168,3.294266,-7.7797737,3.3440552
